Distrito,Dirección,Tipo.de.Inmueble,Descripción,Habitaciones.Disponibles,Precio.Mensual,Notas,tiempo.manejo,metros.manejo,tiempo.caminata,metros.caminata,Piso
Bologna,Piazza Massa Carrara,1,"Ingresso, doppio soggiorno, cucina, tre camere, 2 bagni",1 singola,€ 500; spese escluse,DISPONIBILE DAL 1ﾰ Aprile per ragazze Metro B Bologna,13118,383765,287245,380715,2°
Bologna,Via Gatteschi,1,"Ingresso/soggiorno, 2 camere, cucina, 2 bagni",1 singola con bagno privato,€ 400 TUTTO INCLUSO,DISPONIBILE DALL'11 MARZO per ragazzi/e APT DA CONDIVIEDERE CON LA PROPRIETARIA,13239,369713,289779,382607,1°
Bologna,Via Gatteschi,1,"Ingresso/living, 1 camera, bagno",Intero Appartamento,€ 850; spese escluse,disponibile per ragazze/i Autobus,13239,369713,289779,382607,T
Pigneto,Via Giovanni De Agostini,1,"ingresso, 2 camere, cucina, bagno",1 doppia e/o uso singola,"€ 450; € 300 a posto letto; condominio, acqua, riscaldamento, internet inclusi",disponibile dal 1ﾰ Marzo per ragazze Autobus e Tram,13549,400889,320631,424226,7°
Pigneto,via Prenestina,1,"Ingresso/corridoio,cucina, sala da pranzo, 3 camere, bagno, internet",2 singole,"€ 450; € 450; € 55,00 per le spese",DISPONIBILE DAL 3ﾰ MARZO E DAL 14ﾰ MARZO per ragazze Autobus e Tram,1010,19855,9845,13129,6°
Pigneto,via Padre Raffaele Melis,1,"Ingresso, cucina/living, camera, bagno",Intero appartamento,€ 650; spese escluse,"disponibile per ragazzi/ragazze Autobus, Tram",1241,13716,6460,8731,1°
Batteria Nomentana,via di Sacco Pastore,1,"Ingresso, 2 camere, cucina, bagno",1 doppia e/o uso singola,€ 450; € 250 a posto letto; spese escluse,disponibile per ragazze Autobus e Tram,627,7049,2717,3633,2°
Batteria Nomentana,Via Val d'Ossola,1,"Ingresso/salone doppio, 3 camere, cucina,
2 bagni",1 singola con bagno privato,€ 500 Tutto incluso,disponibile per ragazze Autobus e Tram DA CONDIVIDERE CON LA PROPRIETARIA,654,7201,2998,4014,2°
Batteria Nomentana,Via Valsassina,1,"Ingresso, cucina, 4 camera e 2 bagni.",2 singole,€ 450; condominio e acqua inclusi,disponibile per ragazzi/ragazze Autobus e Tram,22444,646523,488218,652582,6°
San Giovanni,Via Dacia,1,"Ingresso, disimpegno, cucina, 3 camere bagno",1 singola; 1 doppia;,"€ 550 singola, € 350 posto letto TUTTO INCLUSO",DISPONIBILE dal 1ﾰ MARZO per ragazzi/ragazze Metro A San Giovanni-Re di Roma,1358,13784,6928,9272,4°
San Giovanni,Gallia,1,"Ingresso, cucina, camera matrimoniale, bagno",Intero Appartamento,€ 1300 TUTTO INCLUSO,Disponibile per ragazzi/ragazze Metro A San Giovanni-Re di Roma,21084,564675,413281,549734,2°
San Giovanni / Re di Roma,Via Anglona,1,"Ingresso con cucina/living, 2 camere, bagno",2 singole,"€ 500; condominio, acqua, tassa rifiuti e internet inclusi",Disponibile per ragazzi/ragazze Metro A Re di Roma,1257,9200,4390,6021,T
San Giovanni / Ponte Lungo,Via Macedonia,1,"ingresso, 4 camere, cucina, 2 bagni",2 singole,€ 400; spese escluse,Disponibile dal 1ﾰ Marzo e dal 1ﾰ Aprile per ragazze Metro Aponte Lungo,1467,14559,7509,10042,4°
Africano,Via Endert�,1,"Ingresso, disimpegno, cucina, 4 camere, 2 bagni",1 singola,"€ 450; condominio, acqua, riscaldamento inclusi e tassa rifiuti inclusi",disponibile per ragazze Metro B1 Libia,18638,539716,365159,492723,2°
Africano,Via Tripolitana,1,"Ingresso, salotto, cucina, 2 camere, bagno e ripostiglio",1 posto letto,€ 300; condominio incluso,disponibile da febbraio a settembre per ragazze Metro B1 Libia,29373,745108,301442,667526,3°
Africano,Via Filippo Marchetti,1,"Ingresso, cucina, 4 stanze, 2 bagni",4 singole,€ 460; € 460; € 430; € 430; condominio e riscaldamento inclusi,disponibile per ragazzi/ragazze Metro B1 Libia,11230,307779,193043,253559,3°
Montesacro,via Pantelleria,1,"Ingresso, 2 camere, cucina, bagno, disimpegno, balcone",1 singole,"€ 450; condominio, acqua e tassa rifiuti inclusa",disponibile per ragazze Metro B1 Jonio,635,6461,2441,3382,1°
Montesacro,via delle Alpi Apuane,1,"Ingresso/corridoio, 5 camere, 3 bagni, cucina, sala da pranzo, balconcino",2 singole,€ 450; € 400; € 50/mese condominio e riscaldamento,disponibile per ragazzi Autobus e Tram,894,7934,3144,4310,T
Montesacro,via Giovanni Conti,1,"Ingresso, corridoio, cucina abitabile, 4 camere, 2 bagni, ripostiglio, internet",1 doppia,€ 260 posto letto; spese escluse,disponibile per ragazzi Metro B1 Jonio,661,6352,2607,3591,6°
Montesacro / Nomentano,Via Cimone,0,"camera, angolo cottura, bagno, ampiio terrazzo",Intero Appartamento,"€ 700; condominio, acqua a etassa rifiuti inclusi",disponibile per ragazzi/ragazze Autobus e Tram,16307,379457,297180,392296,6°
Centro / Manzoni,via Alfieri int. 8,1,"Ingresso, soggiorno, 3 camere, cucina/living, bagno",3 singole,€ 475; € 525; € 575; TUTTO INCLUSO,camera da ﾀ 475 e da ﾀ 525 disponibile dal 1ﾰ Marzo per ragazzi/ragazze Metro A Manzoni Metro B Cavour,19112,572280,437407,584556,2°
Centro / Manzoni,via Alfieri int. 11,1,"Ingresso, 3 camere, cucina/living, bagno",2 singole,€ 525; € 575; TUTTO INCLUSO,disponibile dal 1ﾰ Marzo per ragazzi/ragazze Metro A Manzoni Metro B Cavour,19114,572302,437391,584534,3°
Centro / Manzoni,via Alfieri int. 12,1,"Ingresso, soggiorno, 3 camere, cucina/living, bagno",3 singole,€ 475; € 525; € 575; TUTTO INCLUSO,camere da ﾀ 475 e da ﾀ 575 disponibile dal 1ﾰ Marzo per ragazzi/ragazze Metro A Manzoni Metro B Cavour,19115,572307,437387,584529,3°
Prenestino,Via Silvio Benco,1,"Ingresso, cucina, 3 camere, 1 bagno",3 singole,€ 380; €380; € 350; internet incluso,disponibile per ragazzi/ragazze Autobus e Tram Metro C,1143,12839,6537,8663,2°
Prenestino,Roberto Sanseverino,1,"Ingresso, 2 camere, cucina, bagno, ristrutturato",1 singola,€ 450; spese escluse,disponibile per ragazzi/ragazze Autobus e Tram,1143,12919,6498,8633,2°
Prenestino,Via Girolamo Cocconi,1,"Ingresso, cucina, soggiorno, 3 camere, bagno",3 singole,€ 400; € 420; € 380; condominio e acqua inclusi,Disponibile dal 1 FEBBRAIO per ragazzi/ragazze Autobus e Tram,1170,12421,6966,9262,1°
Casilina / Tuscolana,Piazza Giuseppe Cardinali,1,"Ingresso/corridoio, cucina, 4 camere, bagno",2 singole,€ 350; spese escluse,disponibile per ragazzi/ragazze Autobus e Tram,1447,14612,7873,10528,2°
